LANG_NAME;LANG_ISO;GENEALOGICAL_AFFILIATION;MACRO_AREA;SOURCE;ENC_AVAILABLE;DISTINCT_FROM_CN;RELATED_TO_CN
Kunama;kun;Language isolate;Africa;Idris (1987: 118);No;DNA;DNA
Kuot;kto;Language isolate;Australia-Papua New Guinea;Lindström (2002: 221);No;DNA;DNA
Kusunda;kgg;Language isolate;Eurasia;Watters (2006: 126);No;DNA;DNA
Kutenai;kut;Language isolate;North America-Mesoamerica;Morgan (1991: 513-514);No;DNA;DNA
Kwomtari;kwo;Kwomtari-Nai, Kwomtari;Australia-Papua New Guinea;Spencer (2008: 118);No;DNA;DNA
Lao;lao;Tai-Kadai, Kam-Tai;Southeast Asia-Oceania;Enfield (2007: 54);No;DNA;DNA
Laven;lbo;Austroasiatic, Bahnaric;Southeast Asia-Oceania;Jacq (2001: 283);No;DNA;DNA
Lavukaleve;lvk;Language isolate;Southeast Asia-Oceania;Terrill (2003: 461);No;DNA;DNA
Laz (Arhavi);lzz;Kartvelian, Georgian-Zan;Eurasia;Lacroix (2009: 80);No;DNA;DNA
Limilngan;lmc;Limilngan-Wulna, Limilngan;Australia-Papua New Guinea;Harvey (2001: 101);No;DNA;DNA
Lowland Oaxaca Chontal;clo;Tequistlatecan, Lowland Oaxaca Chontal;North America-Mesoamerica;O’Connor (2007: 57);No;DNA;DNA
Lumun;lmd;Narrow Talodi, Lumun-Torona;Africa;Smits (2017: 718);No;DNA;DNA
Maba (Chad);mde;Maban, Mabang;Africa;Weiss (2009: 382);No;DNA;DNA
Maco;wpc;Jodi-Saliban, Saliban;South America;Rosés (2015: 426);No;DNA;DNA
Madi;jaa;Arawan, Madi-Madiha;South America;Dixon (2004: 167);No;DNA;DNA
Madurese;mad;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Davies (2010: 399);No;DNA;DNA
Maltese;mlt;Afro-Asiatic, Semitic;Eurasia;Sutcliffe (1936: 212);Yes;Yes;No
Mamaindé;wmd;Nambiquaran, Nambikwara Complex;South America;Eberhard (2009: 581);No;DNA;DNA
Mamvu;mdi;Central Sudanic, Membi-Mangbutu-Efe;Africa;Blackings & Fabb (2003: 708);No;DNA;DNA
Manambu;mle;Ndu, Nuclear Ndu;Australia-Papua New Guinea;Aikhenvald (2008: 190, 301, 305);No;DNA;DNA
Mangarrayi-Maran;mpc;Mangarrayi-Maran, Mangarrayi;Australia-Papua New Guinea;Merlan (1989: 38);No;DNA;DNA
Maore Comorian;swb;Atlantic-Congo, Volta-Congo;Africa;Alnet (2009: 262);No;DNA;DNA
Marind;mrz;Anim, Marind-Boazi-Yaqai;Australia-Papua New Guinea;Olsson (2017: 115);No;DNA;DNA
Marithiel;mfr;Western Daly, Bringen;Australia-Papua New Guinea;Green (1989: 159);No;DNA;DNA
Mateq;xem;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Connell (2013: 152);No;DNA;DNA
Mauwake;mhl;Nuclear Trans New Guinea, Madang;Australia-Papua New Guinea;Berghäll (2015: 324);No;DNA;DNA
Mapudungun;arn;Araucanian, Mapudungun;South America;Smeets (2005: 471);No;DNA;DNA
Maquiritari;mch;Cariban, Guianan;South America;Cáceres (2011: 309);No;DNA;DNA
Mbugu;mhd;Pidgins and creoles;Africa;Mous (2003: 133);No;DNA;DNA
Menya;mcr;Angan, Nuclear Angan;Australia-Papua New Guinea;Whitehead (2004: 145, 171);No;DNA;DNA
Meriam;ulk;Eastern Trans-Fly, Meriam;Australia-Papua New Guinea;Piper (1989: 201-202);No;DNA;DNA
Midob;mei;Nubian, West-Central Nubian;Africa;Werner (1993: 63);Yes;Yes;No
Migabac;mpp;Nuclear Trans New Guinea, Finisterre-Huon;Australia-Papua New Guinea;McEvoy (2008: 85);No;DNA;DNA
Mískito;miq;Misumalpan, Mískito;North America-Mesoamerica;Salamanca (1988: 318);No;DNA;DNA
Mosetén-Chimané;cas;Language isolate;South America;Sakel (2004: 332);No;DNA;DNA
Moskona;mtj;East Bird’s head, Meax;Australia-Papua New Guinea;Gravelle (2010: 503);No;DNA;DNA
Mullukmulluk;mpb;Northern Daly, Mullukmulluk;Australia-Papua New Guinea;Lindsay et al. (2017: 51);No;DNA;DNA
Murui Huitoto;huu;Huitotoan, Nuclear Witotoan;South America;Wojtylak (2017: 431);No;DNA;DNA
Nangikurrunggurr;mwf;Southern Daly, Nangikurrunggurr;Australia-Papua New Guinea;Reid (1991: 349);No;DNA;DNA
Nǁng;ngh;Tuu, !Kwi;Africa;Collins & Namaseb (2011: 105);No;DNA;DNA
Neverver;lgk;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Barbour (2012: 418, 447);No;DNA;DNA
Ngalkbun;ngk;Gunwinyguan, Marne;Australia-Papua New Guinea;Singer (2001: 71);No;DNA;DNA
Ngizim;ngi;Afro-Asiatic, Chadic;Africa;Schuh (1972: 251, 462);No;DNA;DNA
Nhanda;nha;Pama-Nyungan, South-West Pama-Nyungan;Australia-Papua New Guinea;Blevins (2001: 105);No;DNA;DNA
Nias;nia;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Brown (2001: 575);No;DNA;DNA
Nigerian pidgin;pcm;Pidgins and creoles;Africa;Faraclas (2005: 90);No;DNA;DNA
Nihali;nll;Language isolate;Eurasia;Nagaraja (2014a: 78);No;DNA;DNA
Nivaclé;cag;Matacoan, Mataguayo I;South America;Fabre (2016: 226);No;DNA;DNA
Nivkh (Amur);niv;Language isolate;Eurasia;Savel’eva & Taksami (1965: 242);Yes;Yes;No
North Slavey;scs;Athabaskan-Eyak-Tlingit, Athabaskan-Eyak;North America-Mesoamerica;Rice (1989: 1107);No;DNA;DNA
North-Central Ju;knw;Kxa, Ju-Jung;Africa;Heine & König (2015: 276);No;DNA;DNA
Northeast Kiwai (Urama);kiw;Kiwaian, Northeast Kiwai;Australia-Papua New Guinea;Brown et al. (2016: 90);No;DNA;DNA
Northern Emberá;emp;Chocoan, Embera;South America;Rojas (1987: 36);No;DNA;DNA
Northern Haida;hdn;Haida, Northern Haida;North America-Mesoamerica;Enrico (2003: 287);No;DNA;DNA
Northern Yokuts;yok;Yokutsan, General Yokuts;North America-Mesoamerica;Collord (1968: 92);No;DNA;DNA
Northwest Gbaya;gya;Atlantic-Congo, Volta-Congo;Africa;Noss (1981: 122);No;DNA;DNA
Northwest Sahaptin;yak;Sahaptian, Sahaptin;North America-Mesoamerica;Jansen (2010: 88);No;DNA;DNA
Nuu-chah-nulth;myh;Wakashan, Southern Wakashan;North America-Mesoamerica;Davidson (2002: 274);No;DNA;DNA
Nzadi;nzd;Atlantic-Congo, Volta-Congo;Africa;Crane et al. (2011: 177);No;DNA;DNA
Okanagan;oka;Salishan, Interior Salish;North America-Mesoamerica;Davis (2001: 85);No;DNA;DNA
Oksapmin;opm;Nuclear Trans New Guinea, Asmat-Awyu-Ok;Australia-Papua New Guinea;Loughnane (2009: 392);No;DNA;DNA
Ömie;aom;Koiarian, Baraic;Australia-Papua New Guinea;Austing & Upia (1975: 592);No;DNA;DNA
Onondaga;ono;Iroquoian, Northern Iroquoian;North America-Mesoamerica;Woodbury (2018: 212);No;DNA;DNA
Orya;ury;Tor-Orya, Orya;Australia-Papua New Guinea;Neukom & Patnaik (2003: 328-329);No;DNA;DNA
Ottawa;otw;Algic, Algonquian;North America-Mesoamerica;Valentine (2001: 849);No;DNA;DNA
Palikúr;plu;Arawakan, Palikúr;South America;Launey (2003: 201);No;DNA;DNA
Palula;phl;Indo-European, Indo-Aryan;Eurasia;Liljegren (2016: 349-350);Yes;Yes;Yes
Papiamento;pap;Pidgins and creoles;South America;Goilo (2000: 20);Yes;Yes;Yes
Papuan Malay;pmy;Austronesian, Malayo-Polynesian;Australia-Papua New Guinea;Kluge (2017: 520-521);No;DNA;DNA
Pilagá;plg;Guaicuruan, Guaicuru del sur;South America;Vidal (2001: 284);No;DNA;DNA
Pipil;ppl;Uto-Aztecan, Southern Uto-Aztecan;North America-Mesoamerica;Campbell (1985: 124);Yes;Yes;No
Pirahã;myp;Language isolate;South America;Everett (1983: 49-50);No;DNA;DNA
Puinave;pui;Language isolate;South America;Girón (2008: 417);No;DNA;DNA
Purepecha;pua;Tarascan, Purepecha;North America-Mesoamerica;Chamoreau (2003: 66);No;DNA;DNA
Qawasqar;alc;Kawesqar, North-Central Alcalufan;South America;Aguilera (2001: 217);No;DNA;DNA
Rapanui;rap;Austronesian, Malayo-Polynesian;Southeast Asia-Oceania;Kieviet (2017: 503, 504, 506);Yes;Yes;No
Rotokas;roo;North Bougainville, Rotokas-Askopan;Australia-Papua New Guinea;Robinson (2011: 86);No;DNA;DNA
San Blas Kuna;cuk;Chibchan, Core Chibchan;North America-Mesoamerica;Smith (2014: 193);No;DNA;DNA
San Dionisio del Mar Huave;hve;Huavean, San Dionisio-San Mateo Huave;North America-Mesoamerica;Salminen (2017: 241);Yes;Yes;No
Sandawe;sad;Language isolate;Africa;Steeman (2011: 238);No;DNA;DNA
Sanumá;xsu;Yanomamic, Sanumá;South America;Borgman (1990: 86);No;DNA;DNA
Savosavo;svs;Language isolate;Southeast Asia-Oceania;Wegner (2012: 102, 154);No;DNA;DNA
