LANG_ISO;GENEALOGICAL_AFFILIATION;MACRO_AREA;ENC_AVAILABLE;DISTINCT_FROM_CN;RELATED_TO_CN
ömie;koiarian, baraic;australia-papua new guinea;no;dna;dna
onondaga;iroquoian, northern iroquoian;north america-mesoamerica;no;dna;dna
orya;tor-orya, orya;australia-papua new guinea;no;dna;dna
ottawa;algic, algonquian;north america-mesoamerica;no;dna;dna
palikúr;arawakan, palikúr;south america;no;dna;dna
palula;indo-european, indo-aryan;eurasia;yes;yes;yes
papiamento;pidgins and creoles;south america;yes;yes;yes
papuan malay;austronesian, malayo-polynesian;australia-papua new guinea;no;dna;dna
pilagá;guaicuruan, guaicuru del sur;south america;no;dna;dna
pipil;uto-aztecan, southern uto-aztecan;north america-mesoamerica;yes;yes;no
pirahã;language isolate;south america;no;dna;dna
puinave;language isolate;south america;no;dna;dna
purepecha;tarascan, purepecha;north america-mesoamerica;no;dna;dna
qawasqar;kawesqar, north-central alcalufan;south america;no;dna;dna
rapanui;austronesian, malayo-polynesian;southeast asia-oceania;yes;yes;no
rotokas;north bougainville, rotokas-askopan;australia-papua new guinea;no;dna;dna
san blas kuna;chibchan, core chibchan;north america-mesoamerica;no;dna;dna
san dionisio del mar huave;huavean, san dionisio-san mateo huave;north america-mesoamerica;yes;yes;no
sandawe;language isolate;africa;no;dna;dna
sanumá;yanomamic, sanumá;south america;no;dna;dna
savosavo;language isolate;southeast asia-oceania;no;dna;dna
sawknah-fogaha;afro-asiatic, berber;africa;yes;yes;no
semelai;austroasiatic, aslian;southeast asia-oceania;no;dna;dna
seri;language isolate;north america-mesoamerica;no;dna;dna
shasta;shastan, shasta;north america-mesoamerica;no;dna;dna
shatt;dajuic, eastern dajuic;africa;no;dna;dna
sheko;dizoid, sheko;africa;no;dna;dna
sinhala;indo-european, indo-iranian;eurasia;yes;no;yes
sirayaic;austronesian, east formosan;southeast asia-oceania;yes;yes;yes
siwai;south bougainville, buin;australia-papua new guinea;no;dna;dna
skou;sko, skou-serra-piore;australia-papua new guinea;no;dna;dna
somali;afro-asiatic, cushitic;africa;no;dna;dna
southern-coastal tsimshian;tsimshian, southern-coastal tsimshian;north america-mesoamerica;no;dna;dna
southern cook island maori;austronesian, malayo-polynesian;southeast asia-oceania;no;dna;dna
southern yukaghir;yukaghir, kolymic;eurasia;yes;yes;no
sumerian;language isolate;eurasia;no;dna;dna
swahili;atlantic-congo, volta-congo;africa;no;dna;dna
tagalog;austronesian, malayo-polynesian;southeast asia-oceania;no;dna;dna
tariana;arawakan, japura-colombia;south america;no;dna;dna
taulil;taulil-butam;southeast asia-oceania;no;dna;dna
tehuelche;chonan, continental chonan;south america;no;dna;dna
teiwa;timor-alor-pantar, alor-pantar;southeast asia-oceania;no;dna;dna
ternate;north halmahera, northern north halmahera;southeast asia-oceania;no;dna;dna
ternateño;pidgins and creoles;southeast asia-oceania;yes;yes;yes
thai;tai-kadai, kam-tai;southeast asia-oceania;no;dna;dna
thao;austronesian, western plains austronesian;southeast asia-oceania;no;dna;dna
tipai;cochimi-yuman;north america-mesoamerica;no;dna;dna
to’abaita;austronesian, malayo-polynesian;southeast asia-oceania;no;dna;dna
tommo so dogon;dogon, escarpment dogon;africa;no;dna;dna
toura;mande, eastern mande;africa;no;dna;dna
tukang besi south;austronesian, malayo-polinesian;southeast asia-oceania;no;dna;dna
turkish;turkic, common turkic;eurasia;yes;yes;yes
tuvalu;austronesian, malayo-polynesian;southeast asia-oceania;no;dna;dna
udihe;tungusic, central tungusic;eurasia;no;dna;dna
udmurt;uralic, permian;eurasia;yes;no;yes
urarina;language isolate;south america;no;dna;dna
ute-southern paiute;uto-aztecan, northern uto-aztecan;north america-mesoamerica;no;dna;dna
vaeakau-taumako;austronesian, malayo-polynesian;southeast asia-oceania;no;dna;dna
wandala;afro-asiatic, chadic;africa;no;dna;dna
wappo;yuki-wappo, wappo;north america-mesoamerica;no;dna;dna
warao;language isolate;south america;no;dna;dna
wardaman;yangmanic, wardaman;australia-papua new guinea;no;dna;dna
wari’;chapacuran, moreic-waric;south america;no;dna;dna
warlpiri;pama-nyungan, desert nyungic;australia-papua new guinea;no;dna;dna
watam;lower sepik-ramu, ramu;australia-papua new guinea;no;dna;dna
western keres;keresan, western keres;north america-mesoamerica;no;dna;dna
western xiangxi miao;hmong-mien, hmongic;southeast asia-oceania;no;dna;dna
wolaytta;ta-ne-omotic, ometo;africa;no;dna;dna
woleaian;austronesian, malayo-polynesian;southeast asia-oceania;no;dna;dna
wolof;atlantic-congo, north-central atlantic;africa;no;dna;dna
xamtanga;afro-asiatic, cushitic;africa;yes;no;yes
